Table 1
Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
Georgia,Asia,"32,865",[n 11]2024,"24,780",[n 11]2022,"24,605",[n 11]2022
Papua New Guinea,Oceania,"31,716",2024,"31,603",2022,"31,609",2022
Zambia,Africa,"29,872",2024,"29,163",2022,"29,136",2022
Bosnia and Herzegovina,Europe,"29,078",2024,"24,473",2022,"24,473",2022
Trinidad and Tobago,Americas,"28,365",2024,"30,053",2022,"30,053",2022
Sudan,Africa,"26,865",2024,"51,662",2022,"36,729",2022
Guinea,Africa,"25,447",2024,"20,999",2022,"20,846",2022
Albania,Europe,"25,431",2024,"18,916",2022,"18,916",2022
Armenia,Asia,"25,408",2024,"19,513",2022,"19,513",2022
Haiti,Americas,"24,046",2024,"20,253",2022,"18,751",2022
Mozambique,Africa,"22,975",2024,"18,406",2022,"18,406",2022
Malta,Europe,"22,737",2024,"18,125",2022,"18,100",2022
Mongolia,Asia,"21,943",2024,"17,146",2022,"17,146",2022
Burkina Faso,Africa,"21,902",2024,"18,820",2022,"19,176",2022
Lebanon,Asia,"21,780",2022,"23,131",2021,"39,303",2022
Mali,Africa,"21,662",2024,"18,827",2022,"18,827",2022
Botswana,Africa,"21,418",2024,"20,355",2022,"20,352",2022
Benin,Africa,"21,371",2024,"17,396",2022,"17,396",2022
Guyana,Americas,"21,178",2024,"14,718",2022,"14,718",2022
Gabon,Africa,"21,013",2024,"21,071",2022,"20,132",2022
Jamaica,Americas,"20,098",2024,"17,097",2022,"17,097",2022
Nicaragua,Americas,"18,829",2024,"15,671",2022,"15,671",2022
Niger,Africa,"18,816",2024,"15,342",2022,"15,414",2022
Chad,Africa,"18,697",2024,"12,704",2022,"16,799",2022
Palestine,Asia,"18,602",[n 12]2023,"19,111",[n 12]2022,"19,111",[n 13]2022
Moldova,Europe,"18,356",[n 14]2024,"14,508",[n 14]2022,"14,510",[n 14]2022
Yemen,Asia,"16,940",2024,—,"11,007",2022
Madagascar,Africa,"16,465",2024,"15,297",2022,"14,954",2022
Mauritius,Africa,"16,359",2024,"12,948",2022,"12,898",2022
North Macedonia,Europe,"15,873",2024,"13,563",2022,"13,711",2022
Brunei,Asia,"15,510",2024,"16,681",2022,"16,681",2022
Congo,Africa,"15,501",2024,"15,816",2022,"15,344",2022
Laos,Asia,"15,190",2024,"15,468",2022,"15,362",2022
North Korea,Asia,—,—,"15,176",2022
Afghanistan,Asia,"14,467",2022,"14,266",2021,"14,174",2022
Bahamas,Americas,"14,390",2024,"12,897",2022,"12,897",2022
Rwanda,Africa,"13,701",2024,"13,311",2022,"13,312",2022
Kyrgyzstan,Asia,"13,599",2024,"11,543",2022,"10,930",2022
Tajikistan,Asia,"12,953",2024,"10,492",2022,"10,492",2022
Somalia,Africa,"12,804",2024,"10,419",2022,"10,420",2022
Namibia,Africa,"12,765",2024,"12,914",2022,"12,607",2022
Kosovo,Europe,"11,318",2024,"9,409",2022,"9,397",2022
Malawi,Africa,"11,241",2024,"13,164",2022,"12,558",2022
Equatorial Guinea,Africa,"10,708",2024,"12,029",2022,"11,767",2022
Mauritania,Africa,"10,628",2024,"9,780",2022,"10,997",2022
Togo,Africa,"9,832",2024,"8,341",2022,"8,087",2022
New Caledonia,Oceania,—,"9,623",2022,"9,623",2022
Syria,Asia,—,"8,969",2021,"18,595",2022
Monaco,Europe,—,"8,784",2022,"8,772",2022
Montenegro,Europe,"8,010",2024,"6,229",2022,"6,229",2022
Liechtenstein,Europe,—,"7,710",2021,"7,757",2022
Bermuda,Americas,—,"7,546",2022,"7,546",2022
